book;code;text;never_main;gender
NCMP;AAFE10;EEG langtidsregistrering;;
NCMP;AAFE15;EEG med sfenoidal- eller epifarynkselektroder;;
NCMP;AAFE20;EEG med reaksjonstidsmåling;;
NCMP;AAFE22;EEG med amylaltest;;
NCMP;AAFE25;Kvantitativ EEG analyse;;
NCMP;AAFE30;Cerebral funksjonsmonitorering ved EEG;;
NCMP;AAFE60;Peroperativ målsøking ved dyp hjernestimulering;;
NCMP;AAFE80;Visuelt fremkalt potensial (VEP);;
NCMP;AAFE82;Elektroretinografi (ERG);;
NCMP;AAFE85;Elektrisk respons audiometri;;
NCMP;AAFE87;Transtympanal hjernestammeaudiometri;;
NCMP;AAFE89;Sensorisk fremkalt potensial (SEP) IKA;;
NCMP;AAFM00;Kontinuerlig måling av intracerebralt trykk;;
NCMP;AAFX00;Polygrafisk monitorering,respiratoriske parametre(polygrafi);;
NCMP;AAFX05;Polysomnografi (PSG) uten respiratoriske parametre;;
NCMP;AAFX10;Polysomnografi (PSG) med respiratoriske parametre;;
NCMP;AAFX20;Multippel søvnlatenstest med minst åtte parametre under søvn;;
NCSP;AAG00;Stereotaktisk intrakraniell biopsi;;
NCSP;AAG10;Stereotaktisk intrakran destruksjon av kjerne el nervebane;;
NCSP;AAG20;Stereotaktisk intrakraniell implantasjon av elektrode;;
NCSP;AAG30;Stereotaktisk intrakran implantasjon av radioaktiv substans;;
NCSP;AAG40;Stereotaktisk intrakraniell implantasjon av fostervev;;
NCSP;AAG50;Stereotaktisk intrakraniell strålebehandling;;
NCSP;AAG60;Stereotaktisk intrakraniell behandling med gammakniv;;
NCSP;AAG99;Annet stereotaktisk intrakranielt inngrep;;
NCMP;AAGB00;Transkraniell magnetisk stimulering (TMS);;
NCMP;AAGB10;Funksjonell stimulering med intrakranielle EEG elektroder;;
NCMP;AAGT00;Innstilling elektrisk stimulator m/intracerebrale elektroder;;
NCMP;AAGT05;Innstilling elektrisk stimulator - dyp hjernestimulering;;
NCMP;AAGT10;Innstilling av hydrocefalusshunt;;
NCSP;AAH10;Rhizotomi av hjernenerve;;
NCSP;AAH20;Dekompresjon av hjernenerve;;
NCSP;AAH30;Destruksjon av hjernenerve;;
NCSP;AAH40;Injeksjon i hjernenerve;;
NCSP;AAH50;Anastomose av hjernenerve;;
NCSP;AAH60;Mikrovaskulær dekompresjon av hjernenerve;;
NCSP;AAH80;Transposisjon av hjernenerve;;
NCSP;AAH99;Annen operasjon på hjernenerve;;
NCRP;AAI00B;Injeksjon av teraputisk substans i intrakraniell arterie;;
NCRP;AAI20K;Injeksjon av terapeutisk substans i calvariet, UL-veiledet;;
NCSP;AAJ00;Hemisfærektomi;;
NCSP;AAJ10;Lobektomi for epilepsi;;
NCSP;AAJ15;Hippocampektomi;;
NCSP;AAJ20;Eksisjon av epileptisk fokus;;
NCSP;AAJ25;Overskjæring av nervebane for epilepsi;;
NCSP;AAJ30;Callosotomi for epilepsi;;
NCSP;AAJ35;Hemidekortikasjon for epilepsi;;
NCSP;AAJ99;Annen operasjon for epilepsi;;
NCSP;AAK00;Kranieplastikk;;
NCSP;AAK10;Duraplastikk;;
NCSP;AAK20;Operasjon for kraniosynostose;;
NCSP;AAK30;Kraniofacial rekonstruksjon ved medfødt misdannelse;;
NCSP;AAK40;Lukking av cerebrospinal likvorfistel;;
NCSP;AAK70;Beinbiopsi av kranium;;
NCSP;AAK75;Ekstirpasjon eller reseksjon av beintumor i kranium;;
NCSP;AAK80;Partiell eksisjon av skalletak;;
NCSP;AAK85;Replantasjon av tidligere eksidert skalletak;;
NCSP;AAK99;Annen operasjon på kranium eller dura;;
NCSP;AAM00;Punksjon og evakuering av intracerebral abscess;;
NCSP;AAM10;Eksisjon av intracerebral abscess;;
NCSP;AAM30;Evakuering av epiduralt eller subduralt empyem;;
NCRP;AAM31B;Endovaskulær okklusjon av intrakraniell arteriovenøs fistel;;
NCSP;AAM99;Annen operasjon for intrakraniell infeksjon;;
NCSP;AAN00;Eksisjon og rekonstruksjon av encefalocele;;
NCSP;AAN99;Annen operasjon for intrakraniell medfødt misdannelse;;
NCSP;AAP00;Lokal muskeltransposisjon for facialisparese;;
NCSP;AAP10;Kontralateral nervetransposisjon for facialisparese;;
NCSP;AAP20;Mikrovaskulær muskeltransposisjon for facialisparese;;
NCRP;AAP51B;Perkutan arterioplastikk på intrakraniell arterie;;
NCSP;AAP99;Annet rekonstruktivt inngrep for facialisparese;;
NCRP;AAQ61B;Perkutan innlegging av stent i intrakraniell arterie;;
NCRP;AAT11B;Intrakraniell endovaskulær trombolyse;;
NCSP;AAU00;Fjerning av implantat/eksternt fiksasjonsutstyr fra kranium;;
NCSP;AAW01;Implantasjon av intrakraniell stimulator;;
NCSP;AAW02;Implantasjon av intrakranielt injeksjonsutstyr;;
NCRP;AAW96X;Annen bildeveil intervensjon på kraniet el intrakran strukt;;
NCRP;AAW97B;Annet intrakranielt endovaskulært inngrep;;
NCSP;AAW99;Annen operasjon på kranium eller intrakraniell struktur;;
NCRP;AAY00B;Endovaskulær okklusjon av intrakranielt aneurisme;;
NCRP;AAY20B;Endovaskulær okkl av intrakran arteriovenøs malformasjon;;
NCRP;AAY30B;Endovaskulær okklusjon av intrakraniell arterie;;
NCRP;AAY31B;Midlertidig endovaskulær okklusjon av intrakraniell arterie ;;
NCRP;AAY40B;Endovaskulær okklusjon av arterie til intrakraniell tumor;;
NCSP;ABA00;Eksplorativ laminektomi;;
NCSP;ABA10;Biopsi av lesjon i spinalkanalen;;
NCSP;ABA20;Intrathekal endoskopi;;
NCSP;ABA30;Epiduroskopi;;
NCSP;ABA99;Annen diagnostisk operasjon på ryggmarg eller nerverot;;
NCSP;ABB00;Ekstirpasjon av lesjon i spinalkanalen;;
NCSP;ABB02;Ekstirpasjon av lesjon i nerverot;;
NCSP;ABB04;Destruksjon av lesjon i nerverot;;
NCSP;ABB10;Reseksjon av lesjon i spinalkanalen;;
NCSP;ABB20;Drenasje av cyste i ryggmarg eller spinalkanal;;
NCSP;ABB30;Destruksjon av lesjon i spinalkanalen;;
NCSP;ABB40;Evakuering av spontant hematom i spinalkanalen;;
NCSP;ABB99;Annen operasjon for lesjon i spinalkanalen;;
NCSP;ABC01;Perkutan endoskopisk diskektomi for cervikalt skiveprolaps;;
NCSP;ABC04;Perkutan endoskopisk diskektomi for torakalt skiveprolaps;;
NCSP;ABC07;Perkutan endoskopisk diskektomi for lumbalt skiveprolaps;;
NCSP;ABC10;Mikrokirurgisk ekstirpasjon av cervikalt skiveprolaps;;
NCSP;ABC13;Mikrokirurgisk ekstirpasjon av torakalt skiveprolaps;;
NCSP;ABC16;Mikrokirurgisk ekstirpasjon av lumbalt skiveprolaps;;
NCSP;ABC20;Diskektomi i cervikalkolumna;;
NCSP;ABC21;Fremr dekompr cervkol m/ diskektomi og interkorp fiksasjimpl;;
NCSP;ABC23;Diskektomi i torakalkolumna;;
NCSP;ABC26;Diskektomi i lumbalkolumna;;
NCSP;ABC28;Innsetting av ekspanderende interspinøst implantat;;
NCSP;ABC30;Dekompresjon av nerverøtter i cervikalkolumna;;
NCSP;ABC33;Dekompresjon av nerverøtter i torakalkolumna;;
NCSP;ABC36;Dekompresjon av nerverøtter i lumbalkolumna;;
NCSP;ABC40;Dekompresjon av cauda equina i sacrum;;
NCSP;ABC50;Dekompresjon av spinalkanal og nerverøtter i cervikalkolumna;;
NCSP;ABC53;Dekompresjon av spinalkanal og nerverøtter i torakalkolumna;;
NCSP;ABC56;Dekompresjon av spinalkanal og nerverøtter i lumbalkolumna;;
NCSP;ABC60;Dekompresjon av cervikalmarg;;
NCSP;ABC63;Dekompresjon av torakalmarg;;
NCSP;ABC66;Dekompresjon av lumbalmarg;;
NCSP;ABC99;Annen dekompresjon av ryggmarg eller nerverot;;
NCSP;ABD10;Åpen chordotomi;;
NCSP;ABD20;Myelotomi;;
NCSP;ABD40;Implantasjon av spinalt injeksjonsutstyr;;
NCSP;ABD50;Rhizotomi av spinalnerve for smerte eller funksjonsforst;;
NCSP;ABD60;Innlegging av spinal nerveelektrode;;
NCSP;ABD65;Implantasjon av spinal stimulator;;
NCSP;ABD99;Annen op på ryggmarg el nerverot for smerte el funksj forst;;
NCSP;ABE10;Operasjon for myelo- eller meningocele;;
NCSP;ABE20;Løsning av tethered cord eller diastematomyeli;;
NCSP;ABE30;Eksisjon av dermalsinus;;
NCSP;ABE40;Operasjon for hydromyeli;;
NCSP;ABE50;Oksipitocervikal dekompresjon;;
NCSP;ABE99;Annen operasjon for medfødt spinal misdannelse;;
NCMP;ABEX00;Endoskopisk intraspinal undersøkelse;;
NCMP;ABFX00;Lumbalpunksjon med infusjonstest;;
NCMP;ABFX01;Lumbalpunksjon;;
NCMP;ABFX05;Spinal tappetest;;
NCMP;ABFX10;Bulbocavernøs reflekstest;;
NCMP;ABGB00;Magnetisk stimulering av nerverøtter eller pleksus;;
NCMP;ABGC10;Innlegging av epiduralkateter;;
NCMP;ABGC11;Innlegging av epiduralkateter med subkutan injeksjonsport;;
NCMP;ABGC12;Innlegging av spinalkateter;;
NCMP;ABGC13;Innlegging av spinalkateter med subkutan injeksjonsport;;
NCMP;ABGT00;Innstilling/kontroll av elektrisk stimulator, ryggmarg;;
NCMP;ABGT05;Kontroll/omlegging ved epidural/intradural smertebehandling;;
NCMP;ABGX00;Epidural blodlapp;;
NCRP;ABI10B;Injeksjon av terapeutisk substans i spinalarterie;;
NCRP;ABO10A;Perkutan destruksjon av lesjon i nerverot, gjennomlysning;;
NCRP;ABO10D;Perkutan destruksjon av lesjon i nerverot, CT-veiledet;;
NCRP;ABO20A;Perkutan chordotomi, gjennomlysning;;
NCRP;ABO20D;Perkutan chordotomi, CT-veiledet;;
NCRP;ABP10B;Perkutan arterioplastikk på spinalarterie;;
NCRP;ABW96X;Ann. bildeveil intervensj spinalkanal/ryggmarg/nerverøtter;;
NCSP;ABW99;Annen operasjon på spinalkanal, ryggmarg eller nerverot;;
NCRP;ABY10B;Perkutan endovaskulær okklusjonsbehandling i spinalarterier;;
NCSP;ACA11;Eksplorasjon av nervus medianus;;
NCSP;ACA12;Eksplorasjon av nervus radialis;;
NCSP;ACA13;Eksplorasjon av nervus ulnaris;;
NCSP;ACA14;Eksplorasjon av nervus peroneus;;
NCSP;ACA15;Eksplorasjon av nervus tibialis;;
NCSP;ACA16;Eksplorasjon av nervus ischiadicus;;
NCSP;ACA17;Eksplorasjon av plexus lumbalis;;
NCSP;ACA18;Eksplorasjon av plexus brachialis;;
NCSP;ACA19;Eksplorasjon av annen eller uspesifisert perifer nerve;;
NCSP;ACA21;Biopsi av nervus medianus;;
NCSP;ACA22;Biopsi av nervus radialis;;
NCSP;ACA23;Biopsi av nervus ulnaris;;
NCSP;ACA24;Biopsi av nervus peroneus;;
NCSP;ACA25;Biopsi av nervus tibialis;;
NCSP;ACA26;Biopsi av nervus ischiadicus;;
NCSP;ACA27;Biopsi av plexus lumbalis;;
NCSP;ACA28;Biopsi av plexus brachialis;;
NCSP;ACA29;Biopsi av annen eller uspesifisert perifer nerve;;
NCSP;ACA91;Annen diagnostisk operasjon på nervus medianus;;
NCSP;ACA92;Annen diagnostisk operasjon på nervus radialis;;
NCSP;ACA93;Annen diagnostisk operasjon på nervus ulnaris;;
NCSP;ACA94;Annen diagnostisk operasjon på nervus peroneus;;
NCSP;ACA95;Annen diagnostisk operasjon på nervus tibialis;;
NCSP;ACA96;Annen diagnostisk operasjon på nervus ischiadicus;;
NCSP;ACA97;Annen diagnostisk operasjon på plexus lumbalis;;
NCSP;ACA98;Annen diagnostisk operasjon på plexus brachialis;;
NCSP;ACA99;Annen diagnostisk operasjon på annen el uspesifisert nerve;;
NCSP;ACB11;Eksisjon av lesjon i nervus medianus;;
NCSP;ACB12;Eksisjon av lesjon i nervus radialis;;
NCSP;ACB13;Eksisjon av lesjon i nervus ulnaris;;
NCSP;ACB14;Eksisjon av lesjon i nervus peroneus;;
NCSP;ACB15;Eksisjon av lesjon i nervus tibialis;;
NCSP;ACB16;Eksisjon av lesjon i nervus ischiadicus;;
NCSP;ACB17;Eksisjon av lesjon i plexus lumbalis;;
NCSP;ACB18;Eksisjon av lesjon i plexus brachialis;;
NCSP;ACB19;Eksisjon av lesjon i annen eller uspesifisert perifer nerve;;
NCSP;ACB21;Sutur av nervus medianus;;
NCSP;ACB22;Sutur av nervus radialis;;
NCSP;ACB23;Sutur av nervus ulnaris;;
NCSP;ACB24;Sutur av nervus peroneus;;
NCSP;ACB25;Sutur av nervus tibialis;;
NCSP;ACB26;Sutur av nervus ischiadicus;;
NCSP;ACB27;Sutur av plexus lumbalis;;
NCSP;ACB28;Sutur av plexus brachialis;;
NCSP;ACB29;Sutur av annen eller uspesifisert perifer nerve;;
NCSP;ACB91;Annen operasjon for lesjon i nervus medianus;;
NCSP;ACB92;Annen operasjon for lesjon i nervus radialis;;
NCSP;ACB93;Annen operasjon for lesjon i nervus ulnaris;;
NCSP;ACB94;Annen operasjon for lesjon i nervus peroneus;;
NCSP;ACB95;Annen operasjon for lesjon i nervus tibialis;;
NCSP;ACB96;Annen operasjon for lesjon i nervus ischiadicus;;
NCSP;ACB97;Annen operasjon for lesjon i plexus lumbalis;;
NCSP;ACB98;Annen operasjon for lesjon i plexus brachialis;;
NCSP;ACB99;Annen operasjon for lesjon i annen perifer nerve;;
NCSP;ACC11;Overskjæring av nervus medianus;;
NCSP;ACC12;Overskjæring av nervus radialis;;
NCSP;ACC13;Overskjæring av nervus ulnaris;;
NCSP;ACC14;Overskjæring av nervus peroneus;;
NCSP;ACC15;Overskjæring av nervus tibialis;;
NCSP;ACC16;Overskjæring av nervus ischiadicus;;
NCSP;ACC17;Overskjæring i plexus lumbalis;;
NCSP;ACC18;Overskjæring i plexus brachialis;;
NCSP;ACC19;Overskjæring av annen eller uspesifisert nerve;;
NCSP;ACC21;Rekonstruksjon av nervus medianus;;
NCSP;ACC22;Rekonstruksjon av nervus radialis;;
NCSP;ACC23;Rekonstruksjon av nervus ulnaris;;
NCSP;ACC24;Rekonstruksjon av nervus peroneus;;
NCSP;ACC25;Rekonstruksjon av nervus tibialis;;
NCSP;ACC26;Rekonstruksjon av nervus ischiadicus;;
NCSP;ACC27;Rekonstruksjon av plexus lumbalis;;
NCSP;ACC28;Rekonstruksjon av plexus brachialis;;
NCSP;ACC29;Rekonstruksjon av annen eller uspesifisert perifer nerve;;
NCSP;ACC41;Transposisjon av nervus medianus;;
NCSP;ACC42;Transposisjon av nervus radialis;;
NCSP;ACC43;Transposisjon av nervus ulnaris;;
NCSP;ACC44;Transposisjon av nervus peroneus;;
NCSP;ACC45;Transposisjon av nervus tibialis;;
NCSP;ACC46;Transposisjon av nervus ischiadicus;;
NCSP;ACC47;Transposisjon i plexus lumbalis;;
NCSP;ACC48;Transposisjon i plexus brachialis;;
NCSP;ACC49;Transposisjon av annen eller uspesifisert perifer nerve;;
NCSP;ACC51;Dekompresjon og adheranseløsning av nervus medianus;;
NCSP;ACC52;Dekompresjon og adheranseløsning av nervus radialis;;
NCSP;ACC53;Dekompresjon og adheranseløsning av nervus ulnaris;;
NCSP;ACC54;Dekompresjon og adheranseløsning av nervus peroneus;;
NCSP;ACC55;Dekompresjon og adheranseløsning av nervus tibialis;;
NCSP;ACC56;Dekompresjon og adheranseløsning av nervus ischiadicus;;
NCSP;ACC57;Dekompresjon og adheranseløsning i plexus lumbalis;;
NCSP;ACC58;Dekompresjon og adheranseløsning i plexus brachialis;;
NCSP;ACC59;Dekompr og adheranseløsning av annen el uspesifisert nerve;;
NCSP;ACC91;Annen operasjon for funksjonsforstyrrelse i nervus medianus;;
NCSP;ACC92;Annen operasjon for funksjonsforstyrrelse i nervus radialis;;
NCSP;ACC93;Annen operasjon for funksjonsforstyrrelse i nervus ulnaris;;
NCSP;ACC94;Annen operasjon for funksjonsforstyrrelse i nervus peroneus;;
NCSP;ACC95;Annen operasjon for funksjonsforstyrrelse i nervus tibialis;;
NCSP;ACC96;Annen op for funksjonsforstyrrelse i nervus ischiadicus;;
NCSP;ACC97;Annen operasjon for funksjonsforstyrrelse i plexus lumbalis;;
NCSP;ACC98;Annen operasjon for funksjonsforstyrrelse i plex brachialis;;
NCSP;ACC99;Annen op for funksjonsforst i annen el uspesifisert nerve;;
NCMP;ACFE00;Sensorisk nevrografi med nålelektrode;;
NCMP;ACFE05;Sensorisk nevrografi med overflateelektrode;;
NCMP;ACFE10;Motorisk nevrografi med nålelektrode;;
NCMP;ACFE15;Motorisk nevrografi med overflateelektrode;;
NCMP;ACFE20;Motorisk inchingundersøkelse;;
NCMP;ACFE25;Nevrografi med repetitiv nervestimulering;;
NCMP;ACFE30;Blinkrefleks nevrografi;;
NCMP;ACFE39;Motorisk og sensorisk elektronevrografi IKA;;
NCMP;ACFE99;Elektrofysiologisk registrerte reflekser IKA;;
NCMP;ACFX05;Termotest;;
NCMP;ACFX10;H-refleks;;
NCMP;ACFX15;Vibrametri;;
NCMP;ACGB59;Transkutan nervestimulering INA;;
NCMP;ACGB69;Direkte nervestimulering INA;;
NCMP;ACGB89;Intrakutan nervestimulering INA;;
NCMP;ACGX90;Lokal injeksjon av nevrotoksisk substans;;
NCMP;ACGX99;Nevrolyse IKA;;
NCSP;ACW99;Annen operasjon på perifer nerve;;
NCSP;ADA10;Cervikal sympatektomi;;
NCSP;ADA20;Torakal sympatektomi;;
NCSP;ADA30;Lumbal sympatektomi;;
NCSP;ADA99;Annen operasjon på sympatisk nerve;;
NCSP;ADB00;Implantasjon av vagusstimulator;;
NCMP;ADFX00;P300 eller tilsvarende kognitive responser;;
NCMP;ADFX05;Sympatisk hudresponstest;;
NCMP;ADFX10;Parasympatisk R-R respons;;
NCMP;ADFX15;Posturaltest;;
NCMP;ADFX20;Valsalvatest;;
NCMP;ADGB00;Stimulering av vagusnerven;;
NCMP;ADGT00;Innstilling av elektrisk stimulator for vagusstimulering;;
NCMP;ADPE00;Perkutan transluminal renal sympatisk denervasjon;;
NCSP;ADW99;Annen operasjon på det autonome nervesystem;;
NCSP;AEA00;Utskifting av impulsgenerator til stimulator i nervesystemet;;
NCSP;AEA20;Fjerning av impulsgenerator til stimulator i nervesystemet;;
NCSP;AEA23;Fjerning av intrakraniell elektrode;;
NCSP;AEA24;Fjerning av intraspinal elektrode;;
NCSP;AEA25;Fjerning av vagusstimulatorelektrode;;
NCSP;AEA27;Utskifting av spinal stimulasjonselektrode;;
NCSP;AEA30;Utskifting impl pumpe til injkateter i nervesystemet;;
NCSP;AEA40;Cervikal sympatektomi;;
NCSP;AEA43;Fjerning av intrakranielt injeksjonskateter;;
NCSP;AEA44;Fjerning av intraspinalt injeksjonskateter;;
NCSP;AWA00;Reoperasjon for sårruptur etter inngrep på nervesystemet;;
NCSP;AWB00;Reoperasjon for overfladisk infeksjon i nervesystemet;;
NCSP;AWC00;Reoperasjon for dyp infeksjon etter inngrep på nervesystemet;;
NCSP;AWD00;Reoperasjon for overfladisk blødning i nervesystemet;;
NCSP;AWE00;Reoperasjon for dyp blødning etter inngrep på nervesystemet;;
NCRP;AWW96X;Annen bildeveiledet reintervensjon på nervesystemet;;
NCSP;AWW99;Annen reoperasjon etter inngrep på nervesystemet;;
NCMP;AXAA00;Peroperativ overvåking med elektromyografi (EMG);;
NCMP;AXDP00;Videofrenzelundersøkelse;;
NCMP;AXFE00;Elektromyografi (EMG), visuell vurdering;;
NCMP;AXFE02;Elektromyografi (EMG), kvantitativ;;
NCMP;AXFE05;Single fibre elektromyografi (SFEMG);;
NCMP;AXFE10;Makro elektromyografi (EMG);;
NCMP;AXFE15;Elektromyografiveiledet injeksjon;;
NCMP;AXFE25;Elektronystagmografi med eller uten kalorisk prøve;;
NCMP;AXFX00;Diagnostisk legemiddeltest;;
NCMP;AXFX02;Kvalitativ test av luktesans etter standardisert skjema;;
NCMP;AXFX09;Kvantitative sensoriske tester IKA;;
NCMP;AXGX00;Hypnoterapi;;
NCRP;AXW96X;Annen bildeveiledet intervensjon på nervesystemet;;
NCSP;AXW99;Annet mindre inngrep på nervesystemet;;
NCSP;BAA00;Biopsi av tyreoidea;;
NCRP;BAA00K;Punksjon av tyreoidea, ultralydveiledet;;
NCRP;BAA03K;Aspirasjonscytologi fra tyreoidea, ultralydveiledet;;
NCSP;BAA05;Eksplorasjon av tyreoidea;;
NCSP;BAA10;Incisjon av tyreoidea;;
NCSP;BAA20;Unilateral reseksjon av tyreoidea;;
NCSP;BAA25;Bilateral reseksjon av tyreoidea;;
NCSP;BAA30;Eksisjon av isthmus tyreoideae;;
NCSP;BAA40;Unilateral lobektomi av tyreoidea;;
NCSP;BAA50;Lobektomi og reseksjon av kontralateral tyreoidealapp;;
NCSP;BAA60;Total tyreoidektomi;;
NCSP;BAA99;Annen operasjon på tyreoidea;;
NCRP;BAB06K;Nålebiopsi av tyreoidea, ultralydveiledet;;
NCSP;BAX00;Punksjon av tyreoidea;;
NCSP;BAX10;Nålebiopsi av tyreoidea;;
NCSP;BAX20;Aspirasjonscytologi fra tyreoidea;;
NCRP;BBA00K;Punksjon av paratyreoidea, ultralydveiledet;;
NCSP;BBA10;Biopsi av paratyreoidea;;
NCSP;BBA20;Eksplorasjon av paratyreoidea;;
NCSP;BBA30;Eksisjon av paratyreoideakjertel;;
NCSP;BBA40;Subtotal paratyreoidektomi;;
NCSP;BBA50;Total paratyreoidektomi;;
NCSP;BBA70;Implantasjon eller transplantasjon av paratyreoidea;;
NCSP;BBA99;Annen operasjon på paratyreoidea;;
NCRP;BBB06K;Nålebiopsi av paratyreoidea, ultralydveiledet;;
NCSP;BBX00;Punksjon av paratyreoidea;;
NCSP;BBX10;Nålebiopsi av paratyreoidea;;
NCRP;BCA03K;Aspirasjonscytologi fra binyre, ultralydveiledet;;
NCSP;BCA10;Biopsi av binyre;;
NCSP;BCA11;Laparoskopisk biopsi av binyre;;
NCSP;BCA15;Incisjon av binyre;;
NCSP;BCA20;Ekstirpasjon av lesjon i binyre;;
NCSP;BCA30;Unilateral adrenalektomi;;
NCSP;BCA31;Laparoskopisk unilateral adrenalektomi;;
NCSP;BCA40;Bilateral adrenalektomi;;
NCSP;BCA41;Laparoskopisk bilateral adrenalektomi;;
NCSP;BCA99;Annen operasjon på binyre;;
NCRP;BCB06K;Nålebiopsi av binyre, ultralydveiledet;;
NCMP;BCFX00;Funksjonstest ved synacthenstimulering;;
NCMP;BCFX05;Funksjonstest ved metopironstimulering;;
NCMP;BCFX10;Funksjonstest ved insulinstimulering;;
NCMP;BCFX15;Funksjonstest ved suppresjon med dexamethason, kortvarig;;
NCMP;BCFX20;Funksjonstest ved suppresjon med dexamethason, langvarig;;
NCMP;BCFX25;Funksjonstest med saltvannsbelastning;;
NCSP;BCX00;Aspirasjonscytologi fra binyre;;
NCRP;BCX00C;Binyrevenekateterisering;;
NCSP;BCX10;Nålebiopsi av binyre;;
NCSP;BDA10;Operasjon på glomus caroticum;;
NCMP;BEFX30;Tørsteprøve med osmolaritetsmåling i serum og urin;;
NCMP;BEFX35;Tørsteprøve med utvidet urinanalyse;;
NCMP;BEFX40;Funksjonstest ved GnRH-stimulering;;
NCMP;BEFX45;Funksjonstest ved GHRH-stimulering;;
NCMP;BEFX51;Funksj.test veksthormonfrigj.fra hypofyse etter stimulering;;
NCMP;BEFX55;Funksjonstest med TRH-stimulering;;
NCMP;BEFX60;Funksjonstest ved CRH-stimulering;;
NCMP;BEFX65;Funksj.test stimulering m/kombinasjon av aktiveringshormoner;;
NCMP;BEFX70;Funksjonstest ved suppresjon av veksthormon med glukose;;
NCMP;BEFX75;Funksj.test suppresjon av veksthormon (oktreot./bromocript.);;
NCMP;BGFX00;Funksjonstest med glucagonstimulering av C-peptid;;
NCMP;BGFX05;Registrering av blodsukker med subkutan sensor;;
NCMP;BGFX10;Fasteprøve over lang tid med måling av glukose m.m.;;
NCMP;BGFX15;Funksjonstest med peroral glukosebelastning;;
NCSP;BWA00;Reoperasjon for sårruptur ved endokrin kirurgi;;
NCSP;BWB00;Reoperasjon for overfladisk infeksjon ved endokrin kirurgi;;
