table;code;text;level;year;order;valid
atc;A11HA01;Nicotinamide;7;2015;139;0
atc;A11HA02;Pyridoxine (vitamin B6);7;2015;140;0
atc;A11HA03;Tocopherol (vitamin E);7;2015;141;0
atc;A11HA04;Riboflavin (vitamin B2);7;2015;142;0
atc;A11HA05;Biotin;7;2015;143;0
atc;A11HA06;Pyridoxal phosphate;7;2015;144;0
atc;A11HA07;Inositol;7;2015;145;0
atc;A11HA08;Tocofersolan;7;2015;146;0
atc;A11HA30;Dexpanthenol;7;2015;147;0
atc;A11HA31;Calcium pantothenate;7;2015;148;0
atc;A11HA32;Pantethine;7;2015;149;1
atc;A11JA;Combinations of vitamins;5;2015;150;1
atc;A11JB;Vitamins with minerals;5;2015;151;1
atc;A11JC;Vitamins;5;2015;152;0
atc;A12;Mineral supplements;3;2015;153;0
atc;A12A;Calcium;4;2015;154;1
atc;A12BA;Potassium;5;2015;155;0
atc;A12C;Other mineral supplements;4;2015;156;1
atc;A12AA;Calcium;5;2015;157;1
atc;A12AX;Calcium;5;2015;158;1
atc;A12CA;Sodium;5;2015;159;1
atc;A12CB;Zinc;5;2015;160;1
atc;A12CC;Magnesium;5;2015;161;1
atc;A12CD;Fluoride;5;2015;162;1
atc;A12CE;Selenium;5;2015;163;1
atc;A12CX;Other mineral products;5;2015;164;0
atc;A13;Tonics;3;2015;165;0
atc;A14;Anabolic agents for systemic use;3;2015;166;0
atc;A14A;Anabolic steroids;4;2015;167;0
atc;A14B;Other anabolic agents;4;2015;168;1
atc;A14AA;Androstan derivatives;5;2015;169;1
atc;A14AB;Estren derivatives;5;2015;170;0
atc;A15;Appetite stimulants;3;2015;171;0
atc;A16A;Other alimentary tract and metabolism products;4;2015;172;1
atc;A16AA;Amino acids and derivatives;5;2015;173;1
atc;A16AB;Enzymes;5;2015;174;1
atc;A16AX;Various alimentary tract and metabolism products;5;2015;175;0
atc;B;Blood and blood forming organs;1;2015;176;0
atc;B01A;Antithrombotic agents;4;2015;177;1
atc;B01AA;Vitamin K antagonists;5;2015;178;1
atc;B01AB;Heparin group;5;2015;179;1
atc;B01AC;Platelet aggregation inhibitors excluding heparin;5;2015;180;1
atc;B01AD;Enzymes;5;2015;181;1
atc;B01AE;Direct thrombin inhibitors;5;2015;182;1
atc;B01AF;Direct factor Xa inhibitors;5;2015;183;1
atc;B01AX;Other antithrombotic agents;5;2015;184;0
atc;B02;Antihemorrhagic drugs;3;2015;185;0
atc;B02A;Antifibrinolytics;4;2015;186;1
atc;B02AA;Amino acids;5;2015;187;1
atc;B02AB;Proteinase inhibitors;5;2015;188;0
atc;B02B;Vitamin K and other hemostatics;4;2015;189;1
atc;B02BA;Vitamin K;5;2015;190;1
atc;B02BB;Fibrinogen;5;2015;191;1
atc;B02BC;Local hemostatics;5;2015;192;1
atc;B02BD;Blood coagulation factors;5;2015;193;1
atc;B02BX;Other systemic hemostatics;5;2015;194;0
atc;B03;Antianemic drugs;3;2015;195;0
atc;B03A;Iron preparations;4;2015;196;1
atc;B03AA;Iron bivalent;5;2015;197;1
atc;B03AB;Iron trivalent;5;2015;198;1
atc;B03AD;Iron in combination with folic acid;5;2015;199;1
atc;B03AE;Iron in other combinations;5;2015;200;0
atc;B03B;Vitamin B12 and folic acid;4;2015;201;1
atc;B03BA;Vitamin B12 (cyanocobalamin and analogues);5;2015;202;1
atc;B03BB;Folic acid and derivatives;5;2015;203;1
atc;B03XA;Other antianemic preparations;5;2015;204;0
atc;B05;Blood substitutes and perfusion solutions;3;2015;205;0
atc;B05A;Blood and related products;4;2015;206;1
atc;B05AA;Blood substitutes and plasma protein fractions;5;2015;207;1
atc;B05AX;Other blood products;5;2015;208;0
atc;B05B;I.V. solutions;4;2015;209;1
atc;B05BA;Solutions for parenteral nutrition;5;2015;210;1
atc;B05BB;Solutions affecting the electrolyte balance;5;2015;211;1
atc;B05BC;Solutions producing osmotic diuresis;5;2015;212;0
atc;B05C;Irrigating solutions;4;2015;213;1
atc;B05CA;Antiinfectives;5;2015;214;1
atc;B05CB;Salt solutions;5;2015;215;1
atc;B05CX;Other irrigating solutions;5;2015;216;0
atc;B05X;I.V. solution additives;4;2015;217;1
atc;B05XA;Electrolyte solutions;5;2015;218;1
atc;B05XB;Amino acids;5;2015;219;1
atc;B05XX;Other i.v. solution additives;5;2015;220;0
atc;B06A;Other hematologic drugs;4;2015;221;1
atc;B06AA;Enzymes;5;2015;222;1
atc;B06AB;Other hematological products;5;2015;223;1
atc;B06AC;Drugs used in hereditary angioedema;5;2015;224;0
atc;C;Cardiovascular system;1;2015;225;0
atc;C01;Cardiac therapy;3;2015;226;0
atc;C01A;Cardiac glycosides list;4;2015;227;1
atc;C01AA;Digitalis glycosides;5;2015;228;1
atc;C01AB;Scilla glycosides;5;2015;229;1
atc;C01AC;Strophantus glycosides;5;2015;230;1
atc;C01AX;Other cardiac glycosides;5;2015;231;0
atc;C01B;Class 1 and 3 antiarrhythmic drugs;4;2015;232;1
atc;C01BA;Class 1a antiarrhythmic drugs;5;2015;233;1
atc;C01BB;Class 1b antiarrhythmic drugs;5;2015;234;1
atc;C01BC;Class 1c antiarrhythmic drugs;5;2015;235;1
atc;C01BD;Class 3 antiarrhythmic drugs;5;2015;236;1
atc;C01BG;Class 1 and 3 antiarrhythmic drugs;5;2015;237;0
atc;C01C;Cardiac stimulants excluding cardiac glycosides;4;2015;238;1
atc;C01CA;Adrenergic and dopaminergic agents;5;2015;239;1
atc;C01CE;Phosphodiesterase inhibitors drugs;5;2015;240;1
atc;C01CX;Other cardiac stimulants drugs;5;2015;241;0
atc;C01D;Vasodilators used in cardiac diseases;4;2015;242;1
atc;C01DA;Organic nitrates;5;2015;243;1
atc;C01DB;Quinolone vasodilators;5;2015;244;1
atc;C01DX;Other vasodilators used in cardiac diseases;5;2015;245;0
atc;C01E;Other cardiac preparations;4;2015;246;1
atc;C01EA;Prostaglandins;5;2015;247;1
atc;C01EB;Other cardiac preparations;5;2015;248;0
atc;C02;Antihypertensive drugs;3;2015;249;0
atc;C02A;Antiadrenergic agents;4;2015;250;1
atc;C02AA;Rauvolfia alkaloids;5;2015;251;1
atc;C02AB;Methyldopa;5;2015;252;1
atc;C02AC;Imidazoline receptor agonists;5;2015;253;0
atc;C02B;Antiadrenergic agents;4;2015;254;1
atc;C02BA;Sulfonium derivatives;5;2015;255;1
atc;C02BB;Secondary and tertiary amines;5;2015;256;0
atc;C02C;Antiadrenergic agents;4;2015;257;1
atc;C02CA;Alpha-adrenoreceptor antagonists;5;2015;258;1
atc;C02CC;Guanidine derivatives;5;2015;259;0
atc;C02D;Arteriolar smooth muscle;4;2015;260;1
atc;C02DA;Thiazide derivatives;5;2015;261;1
atc;C02DB;Hydrazinophthalazine derivatives;5;2015;262;1
atc;C02DC;Pyrimidine derivatives;5;2015;263;1
atc;C02DD;Nitroferricyanide derivatives;5;2015;264;1
atc;C02DG;Guanidine derivatives;5;2015;265;0
atc;C02K;Other antihypertensives;4;2015;266;1
atc;C02KA;Alkaloids;5;2015;267;1
atc;C02KB;Tyrosine hydroxylase inhibitors;5;2015;268;1
atc;C02KC;MAO inhibitors;5;2015;269;1
atc;C02KD;Serotonin antagonists;5;2015;270;1
atc;C02KX;Antihypertensives for pulmonary arterial hypertension;5;2015;271;0
atc;C02L;Antihypertensives and diuretics in combination;4;2015;272;1
atc;C02LA;Rauwolfia alkaloids and diuretics in combination;5;2015;273;1
atc;C02LB;Methyldopa and diuretics in combination;5;2015;274;1
atc;C02LC;Imidazoline receptor agonists in combination with diuretics;5;2015;275;1
atc;C02LE;Alpha-adrenoreceptor antagonists and diuretics;5;2015;276;1
atc;C02LF;Guanidine derivatives and diuretics;5;2015;277;1
atc;C02LG;Hydrazinophthalazine derivatives and diuretics;5;2015;278;1
atc;C02LK;Alkaloids in combination with diuretics;5;2015;279;1
atc;C02LL;MAO inhibitors and diuretics;5;2015;280;1
atc;C02LX;Other antihypertensives and diuretics;5;2015;281;0
atc;C03;Diuretic drugs;3;2015;282;0
atc;C03A;Low-ceiling diuretics;4;2015;283;1
atc;C03AA;Thiazides;5;2015;284;1
atc;C03AB;Thiazides and potassium in combination;5;2015;285;1
atc;C03AH;Thiazides;5;2015;286;1
atc;C03AX;Thiazides;5;2015;287;0
atc;C03B;Low-ceiling diuretics;4;2015;288;1
atc;C03BA;Sulfonamides;5;2015;289;1
atc;C03BB;Sulfonamides and potassium in combination;5;2015;290;1
atc;C03BC;Mercurial diuretics;5;2015;291;1
atc;C03BD;Xanthine derivatives;5;2015;292;1
atc;C03BX;Other low-ceiling diuretics;5;2015;293;0
atc;C03C;High-ceiling diuretics;4;2015;294;1
atc;C03CA;Sulfonamides;5;2015;295;1
atc;C03CB;Sulfonamides and potassium in combination;5;2015;296;1
atc;C03CC;Aryloxyacetic acid derivatives;5;2015;297;1
atc;C03CD;Pyrazolone derivatives;5;2015;298;1
atc;C03CX;Other high-ceiling diuretics;5;2015;299;0
atc;C03D;Potassium-sparing agents;4;2015;300;1
atc;C03DA;Aldosterone antagonists;5;2015;301;1
atc;C03DB;Other potassium-sparing agents;5;2015;302;0
atc;C03E;Diuretics and potassium-sparing agents in combination;4;2015;303;1
atc;C03EA;Low-ceiling diuretics and potassium-sparing agents;5;2015;304;1
atc;C03EB;High-ceiling diuretics and potassium-sparing agents;5;2015;305;0
atc;C03X;Other diuretics;4;2015;306;1
atc;C03XA;Vasopressin antagonists;5;2015;307;0
atc;C04;Peripheral vasodilators;3;2015;308;0
atc;C04A;Peripheral vasodilators;4;2015;309;1
atc;C04AA;2-amino-1-phenylethanol derivatives;5;2015;310;1
atc;C04AB;Imidazoline derivatives;5;2015;311;1
atc;C04AC;Nicotinic acid and derivatives;5;2015;312;1
atc;C04AD;Purine derivatives;5;2015;313;1
atc;C04AE;Ergot alkaloids;5;2015;314;1
atc;C04AF;Enzymes;5;2015;315;1
atc;C04AX;Other peripheral vasodilators;5;2015;316;0
atc;C05;Vasoprotective drugs;3;2015;317;0
atc;C05A;Agents for treatment of hemorrhoids and anal fissures for topical use;4;2015;318;1
atc;C05AA;Corticosteroids;5;2015;319;1
atc;C05AD;Local anesthetics;5;2015;320;1
atc;C05AE;Muscle relaxants;5;2015;321;1
atc;C05AX;Other agents for treatment of hemorrhoids and anal fissures for topical use;5;2015;322;0
atc;C05B;Antivaricose therapy;4;2015;323;1
atc;C05BA;Heparins or heparinoids for topical use;5;2015;324;1
atc;C05BB;Sclerosing agents for local injection;5;2015;325;1
atc;C05BX;Other sclerosing agents;5;2015;326;0
atc;C05C;Capillary stabilising agents;4;2015;327;1
atc;C05CA;Bioflavonoids;5;2015;328;1
atc;C05CX;Other capillary stabilising agents;5;2015;329;0
atc;C07;Beta blocking agents;3;2015;330;0
atc;C07A;Beta blocking agents;4;2015;331;1
atc;C07AA;Beta blocking agents;5;2015;332;1
atc;C07AB;Beta blocking agents;5;2015;333;1
atc;C07AG;Alpha and beta blocking agents;5;2015;334;0
atc;C07B;Beta blocking agents and thiazides;4;2015;335;1
atc;C07BA;Beta blocking agents and thiazides;5;2015;336;1
atc;C07BB;Beta blocking agents and thiazides;5;2015;337;1
atc;C07BG;Alpha and beta blocking agents and thiazides;5;2015;338;0
atc;C07C;Beta blocking agents and other diuretics;4;2015;339;1
atc;C07CA;Beta blocking agents and other diuretics;5;2015;340;1
atc;C07CB;Beta blocking agents and other diuretics;5;2015;341;1
atc;C07CG;Alpha and beta blocking agents and other diuretics;5;2015;342;0
atc;C07D;Beta blocking agents;4;2015;343;1
atc;C07DA;Beta blocking agents thiazides and other diuretics;5;2015;344;1
atc;C07DB;Beta blocking agents thiazides and other diuretics;5;2015;345;0
atc;C07F;Beta blocking agents and other antihypertensives;4;2015;346;1
atc;C07FA;Beta blocking agents and other antihypertensives;5;2015;347;1
atc;C07FB;Beta blocking agents and other antihypertensives;5;2015;348;1
atc;C07FX;Beta blocking agents;5;2015;349;0
atc;C08;Calcium channel blockers;3;2015;350;0
atc;C08C;Selective calcium channel blockers with mainly vascular effects;4;2015;351;1
atc;C08CA;Dihydropyridine derivatives;5;2015;352;1
atc;C08CX;Other selective calcium channel blockers with mainly vascular effects;5;2015;353;0
atc;C08D;Selective calcium channel blockers with direct cardiac effects;4;2015;354;1
atc;C08DA;Phenylalkylamine derivatives;5;2015;355;1
atc;C08DB;Benzothiazepine derivatives;5;2015;356;0
atc;C08E;Non-selective calcium channel blockers;4;2015;357;1
atc;C08EA;Phenylalkylamine derivatives;5;2015;358;1
atc;C08EX;Other non-selective calcium channel blockers;5;2015;359;1
atc;C08GA;Calcium channel blockers and diuretics;5;2015;360;0
atc;C09;Agents acting on the renin-angiotensin system;3;2015;361;1
atc;C09AA;ACE inhibitors;5;2015;362;0
atc;C09B;ACE inhibitors;4;2015;363;1
atc;C09BA;ACE inhibitors and diuretics;5;2015;364;1
atc;C09BB;ACE inhibitors and calcium channel blockers;5;2015;365;1
atc;C09BX;ACE inhibitors;5;2015;366;1
atc;C09CA;Angiotensin II antagonists;5;2015;367;0
atc;C09D;Angiotensin II antagonists;4;2015;368;1
atc;C09DA;Angiotensin II antagonists and diuretics;5;2015;369;1
atc;C09DB;Angiotensin II antagonists and calcium channel blockers;5;2015;370;1
atc;C09DX;Angiotensin II antagonists;5;2015;371;0
atc;C09X;Other agents acting on the renin-angiotensin system;4;2015;372;1
atc;C09XA;Renin-inhibitors;5;2015;373;0
atc;C10;Lipid modifying agents;3;2015;374;0
atc;C10A;Lipid modifying agents;4;2015;375;1
atc;C10AA;HMG CoA reductase inhibitors;5;2015;376;1
atc;C10AB;Fibrates;5;2015;377;1
atc;C10AC;Bile acid sequestrants;5;2015;378;1
atc;C10AD;Nicotinic acid and derivatives;5;2015;379;1
atc;C10AX;Other lipid modifying agents;5;2015;380;0
atc;C10B;Lipid modifying agents;4;2015;381;1
atc;C10BA;HMG CoA reductase inhibitors in combination with other lipid modifying agents;5;2015;382;1
atc;C10BX;HMG CoA reductase inhibitors;5;2015;383;0
atc;D;Dermatological drugs;1;2015;384;0
atc;D01;Antifungals for dermatological use;3;2015;385;0
atc;D01A;Antifungals for topical use;4;2015;386;1
atc;D01AA;Antibiotics;5;2015;387;1
atc;D01AC;Imidazole and triazole derivatives;5;2015;388;1
atc;D01AE;Other antifungals for topical use;5;2015;389;1
atc;D01BA;Antifungals for systemic use;5;2015;390;0
atc;D02;Emollients and protectants;3;2015;391;0
atc;D02A;Emollients and protectives;4;2015;392;1
atc;D02AE;Carbamide products;5;2015;393;0
atc;D02B;Protectives against UV-radiation;4;2015;394;1
atc;D02BA;Protectives against UV-radiation for topical use;5;2015;395;1
atc;D02BB;Protectives against UV-radiation for systemic use;5;2015;396;0
atc;D03;Treatment of wounds and ulcers;3;2015;397;0
atc;D03A;Cicatrizants;4;2015;398;1
atc;D03AA;Cod-liver oil ointments;5;2015;399;1
atc;D03AX;Other cicatrizants;5;2015;400;0
atc;D03B;Enzymes;4;2015;401;1
atc;D03BA;Proteolytic enzymes;5;2015;402;0
atc;D04;Antipyretics drugs;3;2015;403;0
atc;D04A;Antipruritics anesthetics etc.;4;2015;404;1
atc;D04AA;Topical antihistamines;5;2015;405;1
atc;D04AB;Topical anesthetics;5;2015;406;0
atc;D05;Antipsoriatic drugs;3;2015;407;0
atc;D05A;Antipsoriatics for topical use;4;2015;408;1
atc;D05AC;Antracen derivatives;5;2015;409;1
atc;D05AD;Psoralens for topical use;5;2015;410;1
atc;D05AX;Other antipsoriatics for topical use;5;2015;411;0
atc;D05B;Antipsoriatics for systemic use;4;2015;412;1
atc;D05BA;Psoralens for systemic use;5;2015;413;1
atc;D05BB;Retinoids for treatment of psoriasis;5;2015;414;1
atc;D05BX;Other antipsoriatics for systemic use;5;2015;415;0
atc;D06;Antibiotics and chemotherapeutics for dermatological use;3;2015;416;0
atc;D06A;Antibiotics for topical use;4;2015;417;1
atc;D06AA;Tetracycline and derivatives;5;2015;418;1
atc;D06AX;Other antibiotics for topical use;5;2015;419;0
atc;D06B;Chemotherapeutics for topical use;4;2015;420;1
atc;D06BA;Sulfonamides;5;2015;421;1
atc;D06BB;Antivirals;5;2015;422;1
atc;D06BX;Other chemotherapeutics;5;2015;423;0
atc;D07;Topical dermatological corticosteroids;3;2015;424;0
atc;D07A;Corticosteroids;4;2015;425;1
atc;D07AA;Corticosteroids;5;2015;426;1
atc;D07AB;Corticosteroids;5;2015;427;1
atc;D07AC;Corticosteroids;5;2015;428;1
atc;D07AD;Corticosteroids;5;2015;429;0
atc;D07B;Corticosteroids;4;2015;430;1
atc;D07BA;Corticosteroids combinations with antiseptics;5;2015;431;1
atc;D07BB;Corticosteroids combinations with antiseptics;5;2015;432;1
atc;D07BC;Corticosteroids combinations with antiseptics;5;2015;433;0
atc;D07C;Corticosteroids;4;2015;434;1
atc;D07CA;Corticosteroids combinations with antibiotics;5;2015;435;1
atc;D07CB;Corticosteroids combinations with antibiotics;5;2015;436;1
atc;D07CC;Corticosteroids combinations with antibiotics;5;2015;437;1
atc;D07CD;Corticosteroids combinations with antibiotics;5;2015;438;0
atc;D07X;Corticosteroids;4;2015;439;1
atc;D07XA;Corticosteroids other combinations;5;2015;440;1
atc;D07XB;Corticosteroids other combinations;5;2015;441;1
atc;D07XC;Corticosteroids other combinations;5;2015;442;0
atc;D08;Antiseptics and disinfectants drugs;3;2015;443;0
atc;D08A;Antiseptics and disinfectants;4;2015;444;1
atc;D08AA;Acridine derivatives;5;2015;445;1
atc;D08AC;Biguanides and amidines;5;2015;446;1
atc;D08AE;Phenol and derivatives;5;2015;447;1
atc;D08AF;Nitrofuran derivatives;5;2015;448;1
atc;D08AG;Iodine products;5;2015;449;1
atc;D08AH;Quinoline derivatives;5;2015;450;1
atc;D08AJ;Quaternary ammonium compounds;5;2015;451;1
atc;D08AK;Mercurial products;5;2015;452;1
atc;D08AL;Silver compounds;5;2015;453;1
atc;D08AX;Other antiseptics and disinfectants;5;2015;454;0
atc;D09;Medicated dressings;3;2015;455;0
atc;D09A;Medicated dressings;4;2015;456;1
atc;D09AA;Medicated dressings with antiinfectives;5;2015;457;1
atc;D09AB;Zinc bandages;5;2015;458;1
atc;D09AX;Soft paraffin dressings;5;2015;459;0
atc;D10;Acne drugs;3;2015;460;0
atc;D10A;Topical acne drugs;4;2015;461;1
atc;D10AA;Corticosteroids;5;2015;462;1
atc;D10AB;Preparations containing sulfur;5;2015;463;1
atc;D10AD;Retinoids for topical use in acne;5;2015;464;1
atc;D10AE;Peroxides;5;2015;465;1
atc;D10AF;Anti-infectives for treatment of acne;5;2015;466;1
atc;D10AX;Other anti-acne preparations for topical use;5;2015;467;0
atc;D10B;Anti-acne preparations for systemic use;4;2015;468;1
atc;D10BA;Retinoids for treatment of acne;5;2015;469;1
atc;D10BX;Other anti-acne preparations for systemic use;5;2015;470;0
atc;D11;Other dermatological drugs;3;2015;471;0
atc;D11A;Other dermatological preparations;4;2015;472;1
atc;D11AC;Medicated shampoos;5;2015;473;1
atc;D11AE;Androgens for topical use;5;2015;474;1
atc;D11AH;Agents for dermatitis;5;2015;475;1
atc;D11AX;Other dermatologicals;5;2015;476;0
atc;G;Genitourinary system and reproductive hormones;1;2015;477;0
atc;G01;Gynecological anti-infectives and antiseptics;3;2015;478;0
atc;G01A;Anti infectives and antiseptics;4;2015;479;1
atc;G01AA;Antibiotics;5;2015;480;1
atc;G01AB;Arsenic compounds;5;2015;481;1
atc;G01AC;Quinoline derivatives;5;2015;482;1
atc;G01AD;Organic acids;5;2015;483;1
atc;G01AE;Sulfonamides;5;2015;484;1
atc;G01AF;Imidazole derivatives;5;2015;485;1
atc;G01AG;Triazole derivatives;5;2015;486;1
atc;G01AX;Other anti-infectives and antiseptics;5;2015;487;0
atc;G02;Other gynecological drugs;3;2015;488;0
atc;G02A;Uterotonics;4;2015;489;1
atc;G02AB;Ergot alkaloids;5;2015;490;1
